core.externalId,core.name,core.description,core.businessDescription,core.businessName,custom.data.world.businessSummary,custom.data.world.iri,custom.data.world.columnTypeName,custom.data.world.dataOwner,custom.data.world.dataSteward,core.reference,custom.data.world.restrictedToPublic,custom.data.world.sensitiveData,custom.data.world.status,custom.data.world.technicalSteward,custom.data.world.typePrefix
fl_dn1_tn1_s1_cn17,column name 17,database name 1 table name 1 schema 1 column name 17,,,business summary 17,https://fl-dms.linked.data.world/d/ddw-catalogs/col.17,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn18,column name 18,database name 1 table name 1 schema 1 column name 18,,,business summary 18,https://fl-dms.linked.data.world/d/ddw-catalogs/col.18,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn19,column name 19,database name 1 table name 1 schema 1 column name 19,,,business summary 19,https://fl-dms.linked.data.world/d/ddw-catalogs/col.19,NUMBER,Joyce Morgan         ,Joyce Morgan         ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn20,column name 20,database name 1 table name 1 schema 1 column name 20,,,business summary 20,https://fl-dms.linked.data.world/d/ddw-catalogs/col.20,bit,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn21,column name 21,database name 1 table name 1 schema 1 column name 21,,,business summary 21,https://fl-dms.linked.data.world/d/ddw-catalogs/col.21,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn22,column name 22,database name 1 table name 1 schema 1 column name 22,,,business summary 22,https://fl-dms.linked.data.world/d/ddw-catalogs/col.22,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn23,column name 23,database name 1 table name 1 schema 1 column name 23,,,business summary 23,https://fl-dms.linked.data.world/d/ddw-catalogs/col.23,VARCHAR2,Jessica Hollingsworth,Jessica Hollingsworth,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn24,column name 24,database name 1 table name 1 schema 1 column name 24,,,business summary 24,https://fl-dms.linked.data.world/d/ddw-catalogs/col.24,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn25,column name 25,database name 1 table name 1 schema 1 column name 25,,,business summary 25,https://fl-dms.linked.data.world/d/ddw-catalogs/col.25,datetime,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn26,column name 26,database name 1 table name 1 schema 1 column name 26,,,business summary 26,https://fl-dms.linked.data.world/d/ddw-catalogs/col.26,int,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn27,column name 27,database name 1 table name 1 schema 1 column name 27,,,business summary 27,https://fl-dms.linked.data.world/d/ddw-catalogs/col.27,datetime,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn28,column name 28,database name 1 table name 1 schema 1 column name 28,,,business summary 28,https://fl-dms.linked.data.world/d/ddw-catalogs/col.28,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn29,column name 29,database name 1 table name 1 schema 1 column name 29,,,business summary 29,https://fl-dms.linked.data.world/d/ddw-catalogs/col.29,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn30,column name 30,database name 1 table name 1 schema 1 column name 30,,,business summary 30,https://fl-dms.linked.data.world/d/ddw-catalogs/col.30,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn31,column name 31,database name 1 table name 1 schema 1 column name 31,,,business summary 31,https://fl-dms.linked.data.world/d/ddw-catalogs/col.31,DATE,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn32,column name 32,database name 1 table name 1 schema 1 column name 32,,,business summary 32,https://fl-dms.linked.data.world/d/ddw-catalogs/col.32,NUMBER,Keith Brinkman       ,Keith Brinkman       ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn33,column name 33,database name 1 table name 1 schema 1 column name 33,,,business summary 33,https://fl-dms.linked.data.world/d/ddw-catalogs/col.33,float,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn34,column name 34,database name 1 table name 1 schema 1 column name 34,,,business summary 34,https://fl-dms.linked.data.world/d/ddw-catalogs/col.34,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn35,column name 35,database name 1 table name 1 schema 1 column name 35,,,business summary 35,https://fl-dms.linked.data.world/d/ddw-catalogs/col.35,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn36,column name 36,database name 1 table name 1 schema 1 column name 36,,,business summary 36,https://fl-dms.linked.data.world/d/ddw-catalogs/col.36,TIMESTAMP,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn37,column name 37,database name 1 table name 1 schema 1 column name 37,,,business summary 37,https://fl-dms.linked.data.world/d/ddw-catalogs/col.37,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn38,column name 38,database name 1 table name 1 schema 1 column name 38,,,business summary 38,https://fl-dms.linked.data.world/d/ddw-catalogs/col.38,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn39,column name 39,database name 1 table name 1 schema 1 column name 39,,,business summary 39,https://fl-dms.linked.data.world/d/ddw-catalogs/col.39,int,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn40,column name 40,database name 1 table name 1 schema 1 column name 40,,,business summary 40,https://fl-dms.linked.data.world/d/ddw-catalogs/col.40,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn41,column name 41,database name 1 table name 1 schema 1 column name 41,,,business summary 41,https://fl-dms.linked.data.world/d/ddw-catalogs/col.41,VARCHAR2,Linda Allbritton     ,Linda Allbritton     ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn42,column name 42,database name 1 table name 1 schema 1 column name 42,,,business summary 42,https://fl-dms.linked.data.world/d/ddw-catalogs/col.42,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn43,column name 43,database name 1 table name 1 schema 1 column name 43,,,business summary 43,https://fl-dms.linked.data.world/d/ddw-catalogs/col.43,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn44,column name 44,database name 1 table name 1 schema 1 column name 44,,,business summary 44,https://fl-dms.linked.data.world/d/ddw-catalogs/col.44,NUMBER,Jessica Hollingsworth,Jessica Hollingsworth,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn45,column name 45,database name 1 table name 1 schema 1 column name 45,,,business summary 45,https://fl-dms.linked.data.world/d/ddw-catalogs/col.45,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn46,column name 46,database name 1 table name 1 schema 1 column name 46,,,business summary 46,https://fl-dms.linked.data.world/d/ddw-catalogs/col.46,int,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn47,column name 47,database name 1 table name 1 schema 1 column name 47,,,business summary 47,https://fl-dms.linked.data.world/d/ddw-catalogs/col.47,bit,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn1_s1_cn48,column name 48,database name 1 table name 1 schema 1 column name 48,,,business summary 48,https://fl-dms.linked.data.world/d/ddw-catalogs/col.48,CHAR,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn1,column name 1,database name 1 table name 2 schema 2 column name 1,,,business summary 49,https://fl-dms.linked.data.world/d/ddw-catalogs/col.49,VARCHAR2,Kathy Gould          ,Kathy Gould          ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn2,column name 2,database name 1 table name 2 schema 2 column name 2,,,business summary 50,https://fl-dms.linked.data.world/d/ddw-catalogs/col.50,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn3,column name 3,database name 1 table name 2 schema 2 column name 3,,,business summary 51,https://fl-dms.linked.data.world/d/ddw-catalogs/col.51,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn4,column name 4,database name 1 table name 2 schema 2 column name 4,,,business summary 52,https://fl-dms.linked.data.world/d/ddw-catalogs/col.52,VARCHAR,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn5,column name 5,database name 1 table name 2 schema 2 column name 5,,,business summary 53,https://fl-dms.linked.data.world/d/ddw-catalogs/col.53,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn6,column name 6,database name 1 table name 2 schema 2 column name 6,,,business summary 54,https://fl-dms.linked.data.world/d/ddw-catalogs/col.54,varchar,,Heather Pierson,,Yes,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn7,column name 7,database name 1 table name 2 schema 2 column name 7,,,business summary 55,https://fl-dms.linked.data.world/d/ddw-catalogs/col.55,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn8,column name 8,database name 1 table name 2 schema 2 column name 8,,,business summary 56,https://fl-dms.linked.data.world/d/ddw-catalogs/col.56,varchar,,Heather Pierson,,Yes,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn9,column name 9,database name 1 table name 2 schema 2 column name 9,,,business summary 57,https://fl-dms.linked.data.world/d/ddw-catalogs/col.57,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn10,column name 10,database name 1 table name 2 schema 2 column name 10,,,business summary 58,https://fl-dms.linked.data.world/d/ddw-catalogs/col.58,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn11,column name 11,database name 1 table name 2 schema 2 column name 11,,,business summary 59,https://fl-dms.linked.data.world/d/ddw-catalogs/col.59,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn12,column name 12,database name 1 table name 2 schema 2 column name 12,,,business summary 60,https://fl-dms.linked.data.world/d/ddw-catalogs/col.60,DATE,Joyce Morgan         ,Joyce Morgan         ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn13,column name 13,database name 1 table name 2 schema 2 column name 13,,,business summary 61,https://fl-dms.linked.data.world/d/ddw-catalogs/col.61,nvarchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn14,column name 14,database name 1 table name 2 schema 2 column name 14,,,business summary 62,https://fl-dms.linked.data.world/d/ddw-catalogs/col.62,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn15,column name 15,database name 1 table name 2 schema 2 column name 15,,,business summary 63,https://fl-dms.linked.data.world/d/ddw-catalogs/col.63,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn16,column name 16,database name 1 table name 2 schema 2 column name 16,,,business summary 64,https://fl-dms.linked.data.world/d/ddw-catalogs/col.64,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn17,column name 17,database name 1 table name 2 schema 2 column name 17,,,business summary 65,https://fl-dms.linked.data.world/d/ddw-catalogs/col.65,int,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn18,column name 18,database name 1 table name 2 schema 2 column name 18,,,business summary 66,https://fl-dms.linked.data.world/d/ddw-catalogs/col.66,DATE,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn19,column name 19,database name 1 table name 2 schema 2 column name 19,,,business summary 67,https://fl-dms.linked.data.world/d/ddw-catalogs/col.67,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn20,column name 20,database name 1 table name 2 schema 2 column name 20,,,business summary 68,https://fl-dms.linked.data.world/d/ddw-catalogs/col.68,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn21,column name 21,database name 1 table name 2 schema 2 column name 21,,,business summary 69,https://fl-dms.linked.data.world/d/ddw-catalogs/col.69,DATE,Kelly Recio          ,Kelly Recio          ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn22,column name 22,database name 1 table name 2 schema 2 column name 22,,,business summary 70,https://fl-dms.linked.data.world/d/ddw-catalogs/col.70,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn23,column name 23,database name 1 table name 2 schema 2 column name 23,,,business summary 71,https://fl-dms.linked.data.world/d/ddw-catalogs/col.71,VARCHAR2,Kathy Gould          ,Kathy Gould          ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn24,column name 24,database name 1 table name 2 schema 2 column name 24,,,business summary 72,https://fl-dms.linked.data.world/d/ddw-catalogs/col.72,FLOAT,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn25,column name 25,database name 1 table name 2 schema 2 column name 25,,,business summary 73,https://fl-dms.linked.data.world/d/ddw-catalogs/col.73,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn26,column name 26,database name 1 table name 2 schema 2 column name 26,,,business summary 74,https://fl-dms.linked.data.world/d/ddw-catalogs/col.74,datetime,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn27,column name 27,database name 1 table name 2 schema 2 column name 27,,,business summary 75,https://fl-dms.linked.data.world/d/ddw-catalogs/col.75,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn28,column name 28,database name 1 table name 2 schema 2 column name 28,,,business summary 76,https://fl-dms.linked.data.world/d/ddw-catalogs/col.76,NUMBER,Joyce Morgan         ,Joyce Morgan         ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn29,column name 29,database name 1 table name 2 schema 2 column name 29,,,business summary 77,https://fl-dms.linked.data.world/d/ddw-catalogs/col.77,DATE,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn30,column name 30,database name 1 table name 2 schema 2 column name 30,,,business summary 78,https://fl-dms.linked.data.world/d/ddw-catalogs/col.78,VARCHAR2,Kathy Gould          ,Kathy Gould          ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn31,column name 31,database name 1 table name 2 schema 2 column name 31,,,business summary 79,https://fl-dms.linked.data.world/d/ddw-catalogs/col.79,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn32,column name 32,database name 1 table name 2 schema 2 column name 32,,,business summary 80,https://fl-dms.linked.data.world/d/ddw-catalogs/col.80,CHAR,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn33,column name 33,database name 1 table name 2 schema 2 column name 33,,,business summary 81,https://fl-dms.linked.data.world/d/ddw-catalogs/col.81,VARCHAR2,Jessica Hollingsworth,Jessica Hollingsworth,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn34,column name 34,database name 1 table name 2 schema 2 column name 34,,,business summary 82,https://fl-dms.linked.data.world/d/ddw-catalogs/col.82,VARCHAR,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn35,column name 35,database name 1 table name 2 schema 2 column name 35,,,business summary 83,https://fl-dms.linked.data.world/d/ddw-catalogs/col.83,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn36,column name 36,database name 1 table name 2 schema 2 column name 36,,,business summary 84,https://fl-dms.linked.data.world/d/ddw-catalogs/col.84,int,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn37,column name 37,database name 1 table name 2 schema 2 column name 37,,,business summary 85,https://fl-dms.linked.data.world/d/ddw-catalogs/col.85,VARCHAR2,Joyce Morgan         ,Joyce Morgan         ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn38,column name 38,database name 1 table name 2 schema 2 column name 38,,,business summary 86,https://fl-dms.linked.data.world/d/ddw-catalogs/col.86,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn39,column name 39,database name 1 table name 2 schema 2 column name 39,,,business summary 87,https://fl-dms.linked.data.world/d/ddw-catalogs/col.87,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn40,column name 40,database name 1 table name 2 schema 2 column name 40,,,business summary 88,https://fl-dms.linked.data.world/d/ddw-catalogs/col.88,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn41,column name 41,database name 1 table name 2 schema 2 column name 41,,,business summary 89,https://fl-dms.linked.data.world/d/ddw-catalogs/col.89,CHAR,Kathy Gould          ,Kathy Gould          ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn42,column name 42,database name 1 table name 2 schema 2 column name 42,,,business summary 90,https://fl-dms.linked.data.world/d/ddw-catalogs/col.90,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn43,column name 43,database name 1 table name 2 schema 2 column name 43,,,business summary 91,https://fl-dms.linked.data.world/d/ddw-catalogs/col.91,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn44,column name 44,database name 1 table name 2 schema 2 column name 44,,,business summary 92,https://fl-dms.linked.data.world/d/ddw-catalogs/col.92,VARCHAR2,Kathy Gould          ,Kathy Gould          ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn45,column name 45,database name 1 table name 2 schema 2 column name 45,,,business summary 93,https://fl-dms.linked.data.world/d/ddw-catalogs/col.93,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn46,column name 46,database name 1 table name 2 schema 2 column name 46,,,business summary 94,https://fl-dms.linked.data.world/d/ddw-catalogs/col.94,VARCHAR2,Joyce Morgan         ,Joyce Morgan         ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn47,column name 47,database name 1 table name 2 schema 2 column name 47,,,business summary 95,https://fl-dms.linked.data.world/d/ddw-catalogs/col.95,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn48,column name 48,database name 1 table name 2 schema 2 column name 48,,,business summary 96,https://fl-dms.linked.data.world/d/ddw-catalogs/col.96,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn49,column name 49,database name 1 table name 2 schema 2 column name 49,,,business summary 97,https://fl-dms.linked.data.world/d/ddw-catalogs/col.97,NUMBER,Kathy Gould          ,Kathy Gould          ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn50,column name 50,database name 1 table name 2 schema 2 column name 50,,,business summary 98,https://fl-dms.linked.data.world/d/ddw-catalogs/col.98,decimal,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn51,column name 51,database name 1 table name 2 schema 2 column name 51,,,business summary 99,https://fl-dms.linked.data.world/d/ddw-catalogs/col.99,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn52,column name 52,database name 1 table name 2 schema 2 column name 52,,,business summary 100,https://fl-dms.linked.data.world/d/ddw-catalogs/col.100,CHAR,Cheri Holliday,Brenda Hough,,Yes,,,Nikki Turlington,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn53,column name 53,database name 1 table name 2 schema 2 column name 53,,,business summary 101,https://fl-dms.linked.data.world/d/ddw-catalogs/col.101,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn54,column name 54,database name 1 table name 2 schema 2 column name 54,,,business summary 102,https://fl-dms.linked.data.world/d/ddw-catalogs/col.102,VARCHAR2,Jessica Hollingsworth,Jessica Hollingsworth,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn55,column name 55,database name 1 table name 2 schema 2 column name 55,,,business summary 103,https://fl-dms.linked.data.world/d/ddw-catalogs/col.103,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn56,column name 56,database name 1 table name 2 schema 2 column name 56,,,business summary 104,https://fl-dms.linked.data.world/d/ddw-catalogs/col.104,CHAR,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn57,column name 57,database name 1 table name 2 schema 2 column name 57,,,business summary 105,https://fl-dms.linked.data.world/d/ddw-catalogs/col.105,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn58,column name 58,database name 1 table name 2 schema 2 column name 58,,,business summary 106,https://fl-dms.linked.data.world/d/ddw-catalogs/col.106,nvarchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn59,column name 59,database name 1 table name 2 schema 2 column name 59,,,business summary 107,https://fl-dms.linked.data.world/d/ddw-catalogs/col.107,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn60,column name 60,database name 1 table name 2 schema 2 column name 60,,,business summary 108,https://fl-dms.linked.data.world/d/ddw-catalogs/col.108,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn61,column name 61,database name 1 table name 2 schema 2 column name 61,,,business summary 109,https://fl-dms.linked.data.world/d/ddw-catalogs/col.109,DATE,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn62,column name 62,database name 1 table name 2 schema 2 column name 62,,,business summary 110,https://fl-dms.linked.data.world/d/ddw-catalogs/col.110,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn63,column name 63,database name 1 table name 2 schema 2 column name 63,,,business summary 111,https://fl-dms.linked.data.world/d/ddw-catalogs/col.111,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn64,column name 64,database name 1 table name 2 schema 2 column name 64,,,business summary 112,https://fl-dms.linked.data.world/d/ddw-catalogs/col.112,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn65,column name 65,database name 1 table name 2 schema 2 column name 65,,,business summary 113,https://fl-dms.linked.data.world/d/ddw-catalogs/col.113,NUMBER,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn66,column name 66,database name 1 table name 2 schema 2 column name 66,,,business summary 114,https://fl-dms.linked.data.world/d/ddw-catalogs/col.114,VARCHAR2,Joyce Morgan         ,Joyce Morgan         ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn67,column name 67,database name 1 table name 2 schema 2 column name 67,,,business summary 115,https://fl-dms.linked.data.world/d/ddw-catalogs/col.115,int,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn68,column name 68,database name 1 table name 2 schema 2 column name 68,,,business summary 116,https://fl-dms.linked.data.world/d/ddw-catalogs/col.116,NUMBER,Jessica Hollingsworth,Jessica Hollingsworth,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn69,column name 69,database name 1 table name 2 schema 2 column name 69,,,business summary 117,https://fl-dms.linked.data.world/d/ddw-catalogs/col.117,VARCHAR2,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn70,column name 70,database name 2 table name 2 schema 2 column name 70,,,business summary 118,https://fl-dms.linked.data.world/d/ddw-catalogs/col.118,varchar,,,,,,,,https://dwec.data.world/v0/
fl_dn1_tn2_s2_cn71,column name 71,database name 1 table name 2 schema 2 column name 71,,,business summary 119,https://fl-dms.linked.data.world/d/ddw-catalogs/col.119,VARCHAR2,Kathy Gould          ,Kathy Gould          ,,,,,Mel Mascarenhas,https://dwec.data.world/v0/
